idx,Paragraph Text,Binary Emotion Class/Score
0,The Mirror of Erised ,"{'labels': ['neutral'], 'scores': [0.99882]}"
1,"Christmas was coming. One morning in mid-December, Hogwarts woke to find itself covered in several feet of snow. The lake froze solid and the Weasley twins were punished for bewitching several snowballs so that they followed Quirrell around, bouncing off the back of his turban. The few owls that managed to battle their way through the stormy sky to deliver mail had to be nursed back to health by Hagrid before they could fly off again. ","{'labels': ['neutral'], 'scores': [0.9994486]}"
2,"No one could wait for the holidays to start. While the Gryffindor common room and the Great Hall had roaring fires, the drafty corridors had become icy and a bitter wind rattled the windows in the classrooms. Worst of all were Professor Snape's classes down in the dungeons, where their breath rose in a mist before them and they kept as close as possible to their hot cauldrons. ","{'labels': ['negative'], 'scores': [0.99795365]}"
3,"""I do feel so sorry,"" said Draco Malfoy, one Potions class, ""for all those people who have to stay at Hogwarts for Christmas because they're not wanted at home."" ","{'labels': ['negative'], 'scores': [0.9986118]}"
4,"He was looking over at Harry as he spoke. Crabbe and Goyle chuckled. Harry, who was measuring out powdered spine of lionfish, ignored them. Malfoy had been even more unpleasant than usual since the Quidditch match. Disgusted that the Slytherins had lost, he had tried to get everyone laughing at how a wide-mouthed tree frog would be replacing Harry as Seeker next. Then he'd realized that nobody found this funny, because they were all so impressed at the way Harry had managed to stay on his bucking broomstick. So Malfoy, jealous and angry, had gone back to taunting Harry about having no proper family. ","{'labels': ['negative'], 'scores': [0.9969289]}"
5,"It was true that Harry wasn't going back to Privet Drive for Christmas. Professor McGonagall had come around the week before, making a list of students who would be staying for the holidays, and Harry had signed up at once. He didn't feel sorry for himself at all; this would probably be the best Christmas he'd ever had. Ron and his brothers were staying, too, because Mr. and Mrs. Weasley were going to Romania to visit Charlie. ","{'labels': ['positive'], 'scores': [0.99838805]}"
6,"When they left the dungeons at the end of Potions, they found a large fir tree blocking the corridor ahead. Two enormous feet sticking out at the bottom and a loud puffing sound told them that Hagrid was behind it. ","{'labels': ['neutral'], 'scores': [0.9995958]}"
7,"""Hi, Hagrid, want any help?"" Ron asked, sticking his head through the branches. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.62049794, 0.92486095]}"
8,"""Nah, I'm all right, thanks, Ron."" ","{'labels': ['positive'], 'scores': [0.9990176]}"
9,"""Would you mind moving out of the way?"" came Malfoy's cold drawl from behind them. ""Are you trying to earn some extra money, Weasley? Hoping to be gamekeeper yourself when you leave Hogwarts, I suppose -- that hut of Hagrid's must seem like a palace compared to what your family's used to."" ","{'labels': ['neutral'], 'scores': [0.999212]}"
10,Ron dived at Malfoy just as Snape came up the stairs. ,"{'labels': ['neutral'], 'scores': [0.9994093]}"
11,"""WEASLEY!"" ","{'labels': ['neutral'], 'scores': [0.9988908]}"
12,Ron let go of the front of Malfoy's robes. ,"{'labels': ['neutral'], 'scores': [0.9974324]}"
13,"""He was provoked, Professor Snape,"" said Hagrid, sticking his huge hairy face out from behind the tree. ""Malfoy was insultin' his family."" ","{'labels': ['negative', 'neutral'], 'scores': [0.863177, 0.99788266]}"
14,"""Be that as it may, fighting is against Hogwarts rules, Hagrid,"" said Snape silkily. ""Five points from Gryffindor, Weasley, and be grateful it isn't more. Move along, all of you."" ","{'labels': ['neutral'], 'scores': [0.9899955]}"
15,"Malfoy, Crabbe, and Goyle pushed roughly past the tree, scattering needles everywhere and smirking. ","{'labels': ['neutral'], 'scores': [0.9985261]}"
16,"""I'll get him,"" said Ron, grinding his teeth at Malfoy's back, ""one of these days, I'll get him --"" ","{'labels': ['neutral'], 'scores': [0.9995765]}"
17,"""I hate them both,"" said Harry, ""Malfoy and Snape."" ","{'labels': ['negative'], 'scores': [0.9982644]}"
18,"""Come on, cheer up, it's nearly Christmas,"" said Hagrid. ""Tell yeh what, come with me an' see the Great Hall, looks a treat."" ","{'labels': ['positive'], 'scores': [0.9884361]}"
19,"So the three of them followed Hagrid and his tree off to the Great Hall, where Professor McGonagall and Professor Flitwick were busy with the Christmas decorations. ","{'labels': ['neutral'], 'scores': [0.99908805]}"
20,"""Ah, Hagrid, the last tree -- put it in the far corner, would you?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.71116716, 0.9889053]}"
21,"The hall looked spectacular. Festoons of holly and mistletoe hung all around the walls, and no less than twelve towering Christmas trees stood around the room, some sparkling with tiny icicles, some glittering with hundreds of candles. ","{'labels': ['positive'], 'scores': [0.9986094]}"
22,"""How many days you got left until yer holidays?"" Hagrid asked. ","{'labels': ['neutral'], 'scores': [0.9985739]}"
23,"""Just one,"" said Hermione. ""And that reminds me -- Harry, Ron, we've got half an hour before lunch, we should be in the library."" ","{'labels': ['neutral'], 'scores': [0.9992551]}"
24,"""Oh yeah, you're right,"" said Ron, tearing his eyes away from Professor Flitwick, who had golden bubbles blossoming out of his wand and was trailing them over the branches of the new tree. ","{'labels': ['positive'], 'scores': [0.9993699]}"
25,"""The library?"" said Hagrid, following them out of the hall. ""Just before the holidays? Bit keen, aren't yeh?"" ","{'labels': ['neutral'], 'scores': [0.99324787]}"
26,"""Oh, we're not working,"" Harry told him brightly. ""Ever since you mentioned Nicolas Flamel we've been trying to find out who he is."" ","{'labels': ['neutral'], 'scores': [0.89485776]}"
