idx,Paragraph Text,Binary Emotion Class/Score
0,Halloween ,"{'labels': ['neutral'], 'scores': [0.99570173]}"
1,"Malfoy couldn't believe his eyes when he saw that Harry and Ron were still at Hogwarts the next day, looking tired but perfectly cheerful. Indeed, by the next morning Harry and Ron thought that meeting the three-headed dog had been an excellent adventure, and they were quite keen to have another one. In the meantime, Harry filled Ron in about the package that seemed to have been moved from Gringotts to Hogwarts, and they spent a lot of time wondering what could possibly need such heavy protection. ","{'labels': ['neutral', 'positive'], 'scores': [0.78966534, 0.67932355]}"
2,"""It's either really valuable or really dangerous,"" said Ron. ","{'labels': ['positive'], 'scores': [0.8248486]}"
3,"""Or both,"" said Harry. ","{'labels': ['neutral'], 'scores': [0.9994092]}"
4,"But as all they knew for sure about the mysterious object was that it was about two inches long, they didn't have much chance of guessing what it was without further clues. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.5165116, 0.33618146]}"
5,Neither Neville nor Hermione showed the slightest interest in what lay underneath the dog and the trapdoor. All Neville cared about was never going near the dog again. ,"{'labels': ['neutral'], 'scores': [0.9995689]}"
6,"Hermione was now refusing to speak to Harry and Ron, but she was such a bossy know-it-all that they saw this as an added bonus. All they really wanted now was a way of getting back at Malfoy, and to their great delight, just such a thing arrived in the mail about a week later. ","{'labels': ['neutral'], 'scores': [0.9995621]}"
7,"As the owls flooded into the Great Hall as usual, everyone's attention was caught at once by a long, thin package carried by six large screech owls. Harry was just as interested as everyone else to see what was in this large parcel, and was amazed when the owls soared down and dropped it right in front of him, knocking his bacon to the floor. They had hardly fluttered out of the way when another owl dropped a letter on top of the parcel. ","{'labels': ['ambiguous'], 'scores': [0.9901264]}"
8,"Harry ripped open the letter first, which was lucky, because it said: ","{'labels': ['neutral', 'positive'], 'scores': [0.8193467, 0.8598161]}"
9,DO NOT OPEN THE PARCEL AT THE TABLE. ,"{'labels': ['neutral'], 'scores': [0.99819225]}"
10,"It contains your new Nimbus Two Thousand, but I don't want everybody knowing you've got a broomstick or they'll all want one. Oliver Wood will meet you tonight on the Quidditch field at seven o'clock for your first training session. ","{'labels': ['neutral'], 'scores': [0.9989961]}"
11,Professor McGonagall ,"{'labels': ['neutral'], 'scores': [0.99684554]}"
12,Harry had difficulty hiding his glee as he handed the note to Ron to read. ,"{'labels': ['neutral'], 'scores': [0.99947125]}"
13,"""A Nimbus Two Thousand!"" Ron moaned enviously. ""I've never even touched one."" ","{'labels': ['neutral'], 'scores': [0.99649906]}"
14,"They left the hall quickly, wanting to unwrap the broomstick in private before their first class, but halfway across the entrance hall they found the way upstairs barred by Crabbe and Goyle. Malfoy seized the package from Harry and felt it. ","{'labels': ['neutral'], 'scores': [0.999361]}"
15,"""That's a broomstick,"" he said, throwing it back to Harry with a mixture of jealousy and spite on his face. ""You'll be in for it this time, Potter, first years aren't allowed them."" ","{'labels': ['neutral'], 'scores': [0.9992106]}"
16,Ron couldn't resist it. ,"{'labels': ['neutral'], 'scores': [0.9989034]}"
17,"""It's not any old broomstick,"" he said, ""it's a Nimbus Two Thousand. What did you say you've got at home, Malfoy, a Comet Two Sixty?"" Ron grinned at Harry. ""Comets look flashy, but they're not in the same league as the Nimbus."" ","{'labels': ['neutral'], 'scores': [0.99959916]}"
18,"""What would you know about it, Weasley, you couldn't afford half the handle,"" Malfoy snapped back. ""I suppose you and your brothers have to save up twig by twig."" ","{'labels': ['neutral'], 'scores': [0.99958426]}"
19,"Before Ron could answer, Professor Flitwick appeared at Malfoy's elbow. ","{'labels': ['neutral'], 'scores': [0.99851006]}"
20,"""Not arguing, I hope, boys?"" he squeaked. ","{'labels': ['positive'], 'scores': [0.99895227]}"
21,"""Potter's been sent a broomstick, Professor,"" said Malfoy quickly. ","{'labels': ['neutral'], 'scores': [0.999559]}"
22,"""Yes, yes, that's right,"" said Professor Flitwick, beaming at Harry. ""Professor McGonagall told me all about the special circumstances, Potter. And what model is it?"" ","{'labels': ['positive'], 'scores': [0.9986646]}"
23,"""A Nimbus Two Thousand, it is,"" said Harry, fighting not to laugh at the look of horror on Malfoy's face. ""And it's really thanks to Malfoy here that I've got it,"" he added. ","{'labels': ['positive'], 'scores': [0.9989975]}"
24,"Harry and Ron headed upstairs, smothering their laughter at Malfoy's obvious rage and confusion. ","{'labels': ['ambiguous'], 'scores': [0.9968556]}"
