idx,Paragraph Text,Binary Emotion Class/Score
0,Nicholas Flamel ,"{'labels': ['neutral'], 'scores': [0.9991283]}"
1,"Dumbledore had convinced Harry not to go looking for the Mirror of Erised again, and for the rest of the Christmas holidays the invisibility cloak stayed folded at the bottom of his trunk. Harry wished he could forget what he'd seen in the mirror as easily, but he couldn't. He started having nightmares. Over and over again he dreamed about his parents disappearing in a flash of green light, while a high voice cackled with laughter. ","{'labels': ['positive'], 'scores': [0.9980696]}"
2,"""You see, Dumbledore was right, that mirror could drive you mad,"" said Ron, when Harry told him about these dreams. ","{'labels': ['neutral'], 'scores': [0.99958473]}"
3,"Hermione, who came back the day before term started, took a different view of things. She was torn between horror at the idea of Harry being out of bed, roaming the school three nights in a row (""If Filch had caught you!""), and disappointment that he hadn't at least found out who Nicolas Flamel was. ","{'labels': ['negative'], 'scores': [0.99839205]}"
4,"They had almost given up hope of ever finding Flamel in a library book, even though Harry was still sure he'd read the name somewhere. Once term had started, they were back to skimming through books for ten minutes during their breaks. Harry had even less time than the other two, because Quidditch practice had started again. ","{'labels': ['neutral'], 'scores': [0.99936897]}"
5,"Wood was working the team harder than ever. Even the endless rain that had replaced the snow couldn't dampen his spirits. The Weasleys complained that Wood was becoming a fanatic, but Harry was on Wood's side. If they won their next match, against Hufflepuff, they would overtake Slytherin in the house championship for the first time in seven years. Quite apart from wanting to win, Harry found that he had fewer nightmares when he was tired out after training. ","{'labels': ['neutral'], 'scores': [0.99897146]}"
6,"Then, during one particularly wet and muddy practice session, Wood gave the team a bit of bad news. He'd just gotten very angry with the Weasleys, who kept dive-bombing each other and pretending to fall off their brooms. ","{'labels': ['negative'], 'scores': [0.9970661]}"
7,"""Will you stop messing around!"" he yelled. ""That's exactly the sort of thing that'll lose us the match! Snape's refereeing this time, and he'll be looking for any excuse to knock points off Gryffindor!"" ","{'labels': ['negative', 'neutral'], 'scores': [0.8857087, 0.98928165]}"
8,George Weasley really did fall off his broom at these words. ,"{'labels': ['neutral'], 'scores': [0.9946585]}"
9,"""Snape's refereeing?"" he spluttered through a mouthful of mud. ""When's he ever refereed a Quidditch match? He's not going to be fair if we might overtake Slytherin."" ","{'labels': ['ambiguous'], 'scores': [0.9944022]}"
10,"The rest of the team landed next to George to complain, too. ","{'labels': ['neutral'], 'scores': [0.9993831]}"
11,"""It's not my fault,"" said Wood. ""We've just got to make sure we play a clean game, so Snape hasn't got an excuse to pick on us."" ","{'labels': ['negative', 'neutral'], 'scores': [0.38708153, 0.99911386]}"
12,"Which was all very well, thought Harry, but he had another reason for not wanting Snape near him while he was playing Quidditch... ","{'labels': ['neutral'], 'scores': [0.99945027]}"
13,"The rest of the team hung back to talk to one another as usual at the end of practice, but Harry headed straight back to the Gryffindor common room, where he found Ron and Hermione playing chess. Chess was the only thing Hermione ever lost at, something Harry and Ron thought was very good for her. ","{'labels': ['neutral', 'positive'], 'scores': [0.9960167, 0.71559346]}"
14,"""Don't talk to me for a moment,"" said Ron when Harry sat down next to him, ""I need to concen--"" He caught sight of Harry's face. ","{'labels': ['neutral'], 'scores': [0.9983113]}"
15,"""What's the matter with you? You look terrible."" ","{'labels': ['ambiguous', 'negative'], 'scores': [0.35843396, 0.999033]}"
16,"Speaking quietly so that no one else would hear, Harry told the other two about Snape's sudden, sinister desire to be a Quidditch referee. ","{'labels': ['neutral'], 'scores': [0.99953353]}"
17,"""Don't play,"" said Hermione at once. ","{'labels': ['neutral'], 'scores': [0.9987814]}"
18,"""Say you're ill,"" said Ron. ","{'labels': ['neutral'], 'scores': [0.99965906]}"
19,"""Pretend to break your leg,"" Hermione suggested. ","{'labels': ['neutral'], 'scores': [0.99925476]}"
20,"""Really break your leg,"" said Ron. ","{'labels': ['neutral'], 'scores': [0.9937332]}"
21,"""I can't,"" said Harry. ""There isn't a reserve Seeker. If I back out, Gryffindor can't play at all."" ","{'labels': ['negative', 'neutral'], 'scores': [0.4257956, 0.9977227]}"
22,"At that moment Neville toppled into the common room. How he had managed to climb through the portrait hole was anyone's guess, because his legs had been stuck together with what they recognized at once as the Leg-Locker Curse. He must have had to bunny hop all the way up to Gryffindor tower. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.97779715, 0.85114425]}"
23,"Everyone fell over laughing except Hermione, who leapt up and performed the countercurse. Neville's legs sprang apart and he got to his feet, trembling. ""What happened?"" Hermione asked him, leading him over to sit with Harry and Ron. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.6650899, 0.5290846]}"
