idx,Paragraph Text,Binary Emotion Class/Score
0,Diagon Alley ,"{'labels': ['neutral'], 'scores': [0.99688137]}"
1,"Harry woke early the next morning. Although he could tell it was daylight, he kept his eyes shut tight. ","{'labels': ['negative', 'neutral'], 'scores': [0.55231553, 0.948242]}"
2,"It was a dream, he told himself firmly. I dreamed a giant called Hagrid came to tell me I was going to a school for wizards. When I open my eyes I'll be at home in my cupboard. There was suddenly a loud tapping noise. ","{'labels': ['neutral'], 'scores': [0.99956375]}"
3,"And there's Aunt Petunia knocking on the door, Harry thought, his heart sinking. But he still didn't open his eyes. It had been such a good dream. ","{'labels': ['positive'], 'scores': [0.999464]}"
4,Tap. Tap. Tap. ,"{'labels': ['neutral'], 'scores': [0.9983701]}"
5,"""All right,"" Harry mumbled, ""I'm getting up."" ","{'labels': ['neutral'], 'scores': [0.99894756]}"
6,"He sat up and Hagrid's heavy coat fell off him. The hut was full of sunlight, the storm was over, Hagrid himself was asleep on the collapsed sofa, and there was an owl rapping its claw on the window, a newspaper held in its beak. ","{'labels': ['neutral'], 'scores': [0.998976]}"
7,"Harry scrambled to his feet, so happy he felt as though a large balloon was swelling inside him. He went straight to the window and jerked it open. The owl swooped in and dropped the newspaper on top of Hagrid, who didn't wake up. The owl then fluttered onto the floor and began to attack Hagrid's coat. ","{'labels': ['neutral', 'positive'], 'scores': [0.34071845, 0.99261695]}"
8,"""Don't do that."" ","{'labels': ['negative'], 'scores': [0.9989778]}"
9,"Harry tried to wave the owl out of the way, but it snapped its beak fiercely at him and carried on savaging the coat. ","{'labels': ['neutral'], 'scores': [0.9986992]}"
10,"""Hagrid!"" said Harry loudly. ""There's an owl --"" ","{'labels': ['neutral'], 'scores': [0.9990195]}"
11,"""Pay him,"" Hagrid grunted into the sofa. ","{'labels': ['neutral'], 'scores': [0.99575585]}"
12,"""What?"" ","{'labels': ['neutral'], 'scores': [0.9711392]}"
13,"""He wants payin' fer deliverin' the paper. Look in the pockets."" ","{'labels': ['neutral'], 'scores': [0.9995666]}"
14,"Hagrid's coat seemed to be made of nothing but pockets -- bunches of keys, slug pellets, balls of string, peppermint humbugs, teabags... finally, Harry pulled out a handful of strange-looking coins. ","{'labels': ['neutral'], 'scores': [0.99795616]}"
15,"""Give him five Knuts,"" said Hagrid sleepily. ","{'labels': ['neutral'], 'scores': [0.99930525]}"
16,"""Knuts?"" ","{'labels': ['neutral'], 'scores': [0.9948395]}"
17,"""The little bronze ones."" ","{'labels': ['neutral'], 'scores': [0.9991893]}"
18,"Harry counted out five little bronze coins, and the owl held out his leg so Harry could put the money into a small leather pouch tied to it. Then he flew off through the open window. ","{'labels': ['neutral'], 'scores': [0.99905235]}"
