idx,Paragraph Text,Binary Emotion Class/Score
0,The Keeper of the Keys ,"{'labels': ['neutral'], 'scores': [0.99843043]}"
1,BOOM. They knocked again. Dudley jerked awake. ,"{'labels': ['neutral'], 'scores': [0.998536]}"
2,"""Where's the cannon?"" he said stupidly. ","{'labels': ['negative'], 'scores': [0.9982734]}"
3,"There was a crash behind them and Uncle Vernon came skidding into the room. He was holding a rifle in his hands - now they knew what had been in the long, thin package he had brought with them. ","{'labels': ['neutral'], 'scores': [0.9986927]}"
4,"""Who's there?"" he shouted. ""I warn you -- I'm armed!"" ","{'labels': ['negative'], 'scores': [0.999074]}"
5,There was a pause. Then -- ,"{'labels': ['neutral'], 'scores': [0.99696916]}"
6,SMASH! ,"{'labels': ['neutral'], 'scores': [0.99719846]}"
7,The door was hit with such force that it swung clean off its hinges and with a deafening crash landed flat on the floor. ,"{'labels': ['neutral'], 'scores': [0.9888959]}"
8,"A giant of a man was standing in the doorway. His face was almost completely hidden by a long, shaggy mane of hair and a wild, tangled beard, but you could make out his eyes, glinting like black beetles under all the hair. ","{'labels': ['neutral'], 'scores': [0.9903438]}"
9,"The giant squeezed his way into the hut, stooping so that his head just brushed the ceiling. He bent down, picked up the door, and fitted it easily back into its frame. The noise of the storm outside dropped a little. He turned to look at them all. ","{'labels': ['neutral'], 'scores': [0.99911195]}"
10,"""Couldn't make us a cup o' tea, could yeh? It's not been an easy journey..."" ","{'labels': ['ambiguous'], 'scores': [0.99825805]}"
11,He strode over to the sofa where Dudley sat frozen with fear. ,"{'labels': ['negative', 'neutral'], 'scores': [0.9800454, 0.9880477]}"
12,"""Budge up, yeh great lump,"" said the stranger. ","{'labels': ['neutral'], 'scores': [0.98766994]}"
13,"Dudley squeaked and ran to hide behind his mother, who was crouching, terrified, behind Uncle Vernon. ","{'labels': ['negative', 'neutral'], 'scores': [0.9907712, 0.9241873]}"
14,"""An' here's Harry!"" said the giant. ","{'labels': ['neutral'], 'scores': [0.99852717]}"
15,"Harry looked up into the fierce, wild, shadowy face and saw that the beetle eyes were crinkled in a smile. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.41071817, 0.93406105]}"
16,"""Las' time I saw you, you was only a baby,"" said the giant. ""Yeh look a lot like yer dad, but yeh've got yer mom's eyes."" ","{'labels': ['neutral'], 'scores': [0.99948597]}"
17,Uncle Vernon made a funny rasping noise. ,"{'labels': ['positive'], 'scores': [0.9988274]}"
18,"""I demand that you leave at once, sir!"" he said. ""You are breaking and entering!"" ","{'labels': ['negative', 'neutral'], 'scores': [0.9827434, 0.9844504]}"
19,"""Ah, shut up, Dursley, yeh great prune,"" said the giant; he reached over the back of the sofa, jerked the gun out of Uncle Vernon's hands, bent it into a knot as easily as if it had been made of rubber, and threw it into a corner of the room. ","{'labels': ['negative', 'positive'], 'scores': [0.94840276, 0.94281363]}"
20,"Uncle Vernon made another funny noise, like a mouse being trodden on. ","{'labels': ['positive'], 'scores': [0.999358]}"
21,"""Anyway -- Harry,"" said the giant, turning his back on the Dursleys, ""a very happy birthday to yeh. Got summat fer yeh here -- I mighta sat on it at some point, but it'll taste all right."" ","{'labels': ['neutral', 'positive'], 'scores': [0.9539947, 0.97990245]}"
22,"From an inside pocket of his black overcoat he pulled a slightly squashed box. Harry opened it with trembling fingers. Inside was a large, sticky chocolate cake with Happy Birthday Harry written on it in green icing. ","{'labels': ['neutral'], 'scores': [0.9983109]}"
23,"Harry looked up at the giant. He meant to say thank you, but the words got lost on the way to his mouth, and what he said instead was, ""Who are you?"" ","{'labels': ['ambiguous'], 'scores': [0.9527646]}"
24,The giant chuckled. ,"{'labels': ['positive'], 'scores': [0.9983376]}"
25,"""True, I haven't introduced meself. Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts."" ","{'labels': ['positive'], 'scores': [0.97168297]}"
26,He held out an enormous hand and shook Harry's whole arm. ,"{'labels': ['neutral'], 'scores': [0.99929583]}"
27,"""What about that tea then, eh?"" he said, rubbing his hands together. ""I'd not say no ter summat stronger if yeh've got it, mind."" ","{'labels': ['ambiguous'], 'scores': [0.9983354]}"
28,"His eyes fell on the empty grate with the shriveled chip bags in it and he snorted. He bent down over the fireplace; they couldn't see what he was doing but when he drew back a second later, there was a roaring fire there. It filled the whole damp hut with flickering light and Harry felt the warmth wash over him as though he'd sunk into a hot bath. ","{'labels': ['neutral'], 'scores': [0.9995302]}"
29,"The giant sat back down on the sofa, which sagged under his weight, and began taking all sorts of things out of the pockets of his coat: a copper kettle, a squashy package of sausages, a poker, a teapot, several chipped mugs, and a bottle of some amber liquid that he took a swig from before starting to make tea. Soon the hut was full of the sound and smell of sizzling sausage. Nobody said a thing while the giant was working, but as he slid the first six fat, juicy, slightly burnt sausages from the poker, Dudley fidgeted a little. Uncle Vernon said sharply, ""Don't touch anything he gives you, Dudley."" ","{'labels': ['neutral'], 'scores': [0.9989759]}"
30,The giant chuckled darkly. ,"{'labels': ['positive'], 'scores': [0.9984446]}"
31,"""Yer great puddin' of a son don' need fattenin' anymore, Dursley, don' worry."" ","{'labels': ['positive'], 'scores': [0.9988618]}"
32,"He passed the sausages to Harry, who was so hungry he had never tasted anything so wonderful, but he still couldn't take his eyes off the giant. Finally, as nobody seemed about to explain anything, he said, ""I'm sorry, but I still don't really know who you are."" ","{'labels': ['negative'], 'scores': [0.99641573]}"
33,The giant took a gulp of tea and wiped his mouth with the back of his hand. ,"{'labels': ['neutral'], 'scores': [0.9798805]}"
34,"""Call me Hagrid,"" he said, ""everyone does. An' like I told yeh, I'm Keeper of Keys at Hogwarts -- yeh'll know all about Hogwarts, o' course. ","{'labels': ['neutral'], 'scores': [0.9996928]}"
35,"""Er -- no,"" said Harry. ","{'labels': ['neutral'], 'scores': [0.9993018]}"
36,Hagrid looked shocked. ,"{'labels': ['ambiguous'], 'scores': [0.9983675]}"
37,"""Sorry,"" Harry said quickly. ","{'labels': ['negative'], 'scores': [0.97288233]}"
38,"""Sorry?"" barked Hagrid, turning to stare at the Dursleys, who shrank back into the shadows. ""It's them as should be sorry! I knew yeh weren't gettin' yer letters but I never thought yeh wouldn't even know abou' Hogwarts, fer cryin' out loud! Did yeh never wonder where yer parents learned it all?"" ","{'labels': ['negative'], 'scores': [0.9981438]}"
39,"""All what?"" asked Harry. ","{'labels': ['neutral'], 'scores': [0.9954703]}"
40,"""ALL WHAT?"" Hagrid thundered. ""Now wait jus' one second!"" ","{'labels': ['neutral'], 'scores': [0.9990779]}"
41,He had leapt to his feet. In his anger he seemed to fill the whole hut. The Dursleys were cowering against the wall. ,"{'labels': ['negative', 'neutral'], 'scores': [0.92361635, 0.98174584]}"
42,"""Do you mean ter tell me,"" he growled at the Dursleys, ""that this boy -- this boy! -- knows nothin' abou' -- about ANYTHING?"" ","{'labels': ['neutral'], 'scores': [0.9989814]}"
43,"Harry thought this was going a bit far. He had been to school, after all, and his marks weren't bad. ","{'labels': ['neutral'], 'scores': [0.9995278]}"
44,"""I know some things,"" he said. ""I can, you know, do math and stuff."" ","{'labels': ['neutral'], 'scores': [0.99776685]}"
45,"But Hagrid simply waved his hand and said, ""About our world, I mean. Your world. My world. Yer parents' world."" ","{'labels': ['neutral'], 'scores': [0.99937624]}"
46,"""What world?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.96367115, 0.9184658]}"
47,Hagrid looked as if he was about to explode. ,"{'labels': ['neutral'], 'scores': [0.99711895]}"
48,"""DURSLEY!"" he boomed. ","{'labels': ['negative', 'neutral'], 'scores': [0.9832654, 0.92063063]}"
49,"Uncle Vernon, who had gone very pale, whispered something that sounded like ""Mimblewimble."" Hagrid stared wildly at Harry. ","{'labels': ['neutral'], 'scores': [0.999466]}"
50,"""But yeh must know about yer mom and dad,"" he said. ""I mean, they're famous. You're famous."" ","{'labels': ['neutral', 'positive'], 'scores': [0.96994877, 0.9687382]}"
51,"""What? My -- my mom and dad weren't famous, were they?"" ","{'labels': ['ambiguous'], 'scores': [0.9990508]}"
52,"""Yeh don' know... yeh don' know..."" Hagrid ran his fingers through his hair, fixing Harry with a bewildered stare. ","{'labels': ['neutral'], 'scores': [0.9950481]}"
53,"""Yeh don' know what yeh are?"" he said finally. ","{'labels': ['neutral'], 'scores': [0.9986725]}"
54,Uncle Vernon suddenly found his voice. ,"{'labels': ['neutral'], 'scores': [0.9990119]}"
55,"""Stop!"" he commanded. ""Stop right there, sir! I forbid you to tell the boy anything!"" ","{'labels': ['negative', 'neutral'], 'scores': [0.99625164, 0.96944827]}"
56,"A braver man than Vernon Dursley would have quailed under the furious look Hagrid now gave him; when Hagrid spoke, his every syllable trembled with rage. ","{'labels': ['negative', 'neutral'], 'scores': [0.9826299, 0.8131616]}"
57,"""You never told him? Never told him what was in the letter Dumbledore left fer him? I was there! I saw Dumbledore leave it, Dursley! An' you've kept it from him all these years?"" ","{'labels': ['neutral'], 'scores': [0.98990893]}"
