idx,Paragraph Text,Binary Emotion Class/Score
0,The Man With Two Faces ,"{'labels': ['neutral'], 'scores': [0.9984675]}"
1,It was Quirrell. ,"{'labels': ['neutral'], 'scores': [0.9985631]}"
2,"""You!"" gasped Harry. ","{'labels': ['neutral'], 'scores': [0.9988739]}"
3,Quirrell smiled. His face wasn't twitching at all. ,"{'labels': ['neutral'], 'scores': [0.9997304]}"
4,"""Me,"" he said calmly. ""I wondered whether I'd be meeting you here, Potter."" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.9830346, 0.44759256]}"
5,"""But I thought -- Snape --"" ","{'labels': ['neutral'], 'scores': [0.9995555]}"
6,"""Severus?"" Quirrell laughed, and it wasn't his usual quivering treble, either, but cold and sharp. ""Yes, Severus does seem the type, doesn't he? So useful to have him swooping around like an overgrown bat. Next to him, who would suspect p-p-poor, st-stuttering P-Professor Quirrell?"" ","{'labels': ['neutral'], 'scores': [0.9993443]}"
7,"Harry couldn't take it in. This couldn't be true, it couldn't. ","{'labels': ['negative'], 'scores': [0.9982487]}"
8,"""But Snape tried to kill me!"" ","{'labels': ['negative', 'neutral'], 'scores': [0.987374, 0.96464425]}"
9,"""No, no, no. I tried to kill you. Your friend Miss Granger accidentally knocked me over as she rushed to set fire to Snape at that Quidditch match. She broke my eye contact with you. Another few seconds and I'd have got you off that broom. I'd have managed it before then if Snape hadn't been muttering a countercurse, trying to save you."" ","{'labels': ['negative'], 'scores': [0.99772793]}"
10,"""Snape was trying to save me?"" ","{'labels': ['ambiguous'], 'scores': [0.9610355]}"
11,"""Of course,"" said Quirrell coolly. ""Why do you think he wanted to referee your next match? He was trying to make sure I didn't do it again. Funny, really... he needn't have bothered. I couldn't do anything with Dumbledore watching. All the other teachers thought Snape was trying to stop Gryffindor from winning, he did make himself unpopular... and what a waste of time, when after all that, I'm going to kill you tonight."" ","{'labels': ['negative'], 'scores': [0.9968273]}"
12,Quirrell snapped his fingers. Ropes sprang out of thin air and wrapped themselves tightly around Harry. ,"{'labels': ['neutral'], 'scores': [0.9972976]}"
13,"""You're too nosy to live, Potter. Scurrying around the school on Halloween like that, for all I knew you'd seen me coming to look at what was guarding the Stone."" ","{'labels': ['negative', 'neutral'], 'scores': [0.99114954, 0.9895727]}"
14,"""You let the troll in?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.9394999, 0.61615694]}"
15,"""Certainly. I have a special gift with trolls -- you must have seen what I did to the one in the chamber back there? Unfortunately, while everyone else was running around looking for it, Snape, who already suspected me, went straight to the third floor to head me off -- and not only did my troll fail to beat you to death, that three-headed dog didn't even manage to bite Snape's leg off properly. ","{'labels': ['neutral'], 'scores': [0.99937505]}"
16,"""Now, wait quietly, Potter. I need to examine this interesting mirror."" ","{'labels': ['neutral'], 'scores': [0.99956113]}"
17,It was only then that Harry realized what was standing behind Quirrell. It was the Mirror of Erised. ,"{'labels': ['ambiguous'], 'scores': [0.9985856]}"
18,"""This mirror is the key to finding the Stone,"" Quirrell murmured, tapping his way around the frame. ""Trust Dumbledore to come up with something like this... but he's in London... I'll be far away by the time he gets back..."" ","{'labels': ['neutral'], 'scores': [0.9998222]}"
19,All Harry could think of doing was to keep Quirrell talking and stop him from concentrating on the mirror. ,"{'labels': ['neutral'], 'scores': [0.9974602]}"
20,"""I saw you and Snape in the forest --"" he blurted out. ","{'labels': ['neutral'], 'scores': [0.99890006]}"
21,"""Yes,"" said Quirrell idly, walking around the mirror to look at the back. ""He was on to me by that time, trying to find out how far I'd got. He suspected me all along. Tried to frighten me -- as though he could, when I had Lord Voldemort on my side..."" ","{'labels': ['negative', 'neutral'], 'scores': [0.90071267, 0.97279966]}"
22,Quirrell came back out from behind the mirror and stared hungrily into it. ,"{'labels': ['negative', 'neutral'], 'scores': [0.87575877, 0.98365545]}"
23,"""I see the Stone... I'm presenting it to my master... but where is it?"" ","{'labels': ['neutral'], 'scores': [0.9988525]}"
24,"Harry struggled against the ropes binding him, but they didn't give. He had to keep Quirrell from giving his whole attention to the mirror. ","{'labels': ['neutral'], 'scores': [0.9994716]}"
25,"""But Snape always seemed to hate me so much."" ","{'labels': ['negative', 'neutral'], 'scores': [0.9974734, 0.32958528]}"
26,"""Oh, he does,"" said Quirrell casually, ""heavens, yes. He was at Hogwarts with your father, didn't you know? They loathed each other. But he never wanted you dead."" ","{'labels': ['neutral'], 'scores': [0.9993806]}"
27,"""But I heard you a few days ago, sobbing -- I thought Snape was threatening you..."" ","{'labels': ['negative'], 'scores': [0.9977155]}"
28,"For the first time, a spasm of fear flitted across Quirrell's face. ","{'labels': ['negative'], 'scores': [0.9981933]}"
29,"""Sometimes,"" he said, ""I find it hard to follow my master's instructions -- he is a great wizard and I am weak --"" ","{'labels': [], 'scores': []}"
30,"""You mean he was there in the classroom with you?"" Harry gasped. ","{'labels': ['ambiguous'], 'scores': [0.99743724]}"
31,"""He is with me wherever I go,"" said Quirrell quietly. ""I met him when I traveled around the world. A foolish young man I was then, full of ridiculous ideas about good and evil. Lord Voldemort showed me how wrong I was. There is no good and evil, there is only power, and those too weak to seek it... Since then, I have served him faithfully, although I have let him down many times. He has had to be very hard on me."" Quirrell shivered suddenly. ""He does not forgive mistakes easily. When I failed to steal the stone from Gringotts, he was most displeased. He punished me... decided he would have to keep a closer watch on me..."" ","{'labels': ['negative', 'neutral'], 'scores': [0.98948354, 0.54531825]}"
32,"Quirrell's voice trailed away. Harry was remembering his trip to Diagon Alley -- how could he have been so stupid? He'd seen Quirrell there that very day, shaken hands with him in the Leaky Cauldron. ","{'labels': ['neutral'], 'scores': [0.99848527]}"
33,Quirrell cursed under his breath. ,"{'labels': ['negative', 'neutral'], 'scores': [0.8884464, 0.9965377]}"
34,"""I don't understand... is the Stone inside the mirror? Should I break it?"" ","{'labels': ['ambiguous'], 'scores': [0.99916196]}"
35,Harry's mind was racing. ,"{'labels': ['neutral'], 'scores': [0.9993493]}"
36,"What I want more than anything else in the world at the moment, he thought, is to find the Stone before Quirrell does. So if I look in the mirror, I should see myself finding it -- which means I'll see where it's hidden! But how can I look without Quirrell realizing what I'm up to? ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.31909776, 0.99737453]}"
37,"He tried to edge to the left, to get in front of the glass without Quirrell noticing, but the ropes around his ankles were too tight: he tripped and fell over. Quirrell ignored him. He was still talking to himself. ","{'labels': ['negative', 'neutral'], 'scores': [0.4961405, 0.99806696]}"
38,"""What does this mirror do? How does it work? Help me, Master!"" ","{'labels': ['ambiguous'], 'scores': [0.9457076]}"
