idx,Paragraph Text,Binary Emotion Class/Score
0,The Sorting Hat ,"{'labels': ['neutral'], 'scores': [0.9984602]}"
1,"The door swung open at once. A tall, black-haired witch in emerald-green robes stood there. She had a very stern face and Harry's first thought was that this was not someone to cross. ","{'labels': ['neutral'], 'scores': [0.999127]}"
2,"""The firs' years, Professor McGonagall,"" said Hagrid. ","{'labels': ['neutral'], 'scores': [0.9994709]}"
3,"""Thank you, Hagrid. I will take them from here."" ","{'labels': ['positive'], 'scores': [0.9989926]}"
4,"She pulled the door wide. The entrance hall was so big you could have fit the whole of the Dursleys' house in it. The stone walls were lit with flaming torches like the ones at Gringotts, the ceiling was too high to make out, and a magnificent marble staircase facing them led to the upper floors. ","{'labels': ['neutral'], 'scores': [0.9990165]}"
5,"They followed Professor McGonagall across the flagged stone floor. Harry could hear the drone of hundreds of voices from a doorway to the right -- the rest of the school must already be here -- but Professor McGonagall showed the first years into a small, empty chamber off the hall. They crowded in, standing rather closer together than they would usually have done, peering about nervously. ","{'labels': ['neutral'], 'scores': [0.9993705]}"
6,"""Welcome to Hogwarts,"" said Professor McGonagall. ""The start-of-term banquet will begin shortly, but before you take your seats in the Great Hall, you will be sorted into your houses. The Sorting is a very important ceremony because, while you are here, your house will be something like your family within Hogwarts. You will have classes with the rest of your house, sleep in your house dormitory, and spend free time in your house common room. ","{'labels': ['neutral', 'positive'], 'scores': [0.6671965, 0.9898634]}"
7,"""The four houses are called Gryffindor, Hufflepuff, Ravenclaw, and Slytherin. Each house has its own noble history and each has produced outstanding witches and wizards. While you are at Hogwarts, your triumphs will earn your house points, while any rulebreaking will lose house points. At the end of the year, the house with the most points is awarded the house cup, a great honor. I hope each of you will be a credit to whichever house becomes yours. ","{'labels': ['positive'], 'scores': [0.9993864]}"
8,"""The Sorting Ceremony will take place in a few minutes in front of the rest of the school. I suggest you all smarten yourselves up as much as you can while you are waiting."" ","{'labels': ['positive'], 'scores': [0.99867296]}"
9,"Her eyes lingered for a moment on Neville's cloak, which was fastened under his left ear, and on Ron's smudged nose. Harry nervously tried to flatten his hair. ","{'labels': ['neutral'], 'scores': [0.99949336]}"
10,"""I shall return when we are ready for you,"" said Professor McGonagall. ""Please wait quietly."" ","{'labels': ['neutral'], 'scores': [0.9992362]}"
11,She left the chamber. Harry swallowed. ,"{'labels': ['neutral'], 'scores': [0.9991054]}"
12,"""How exactly do they sort us into houses?"" he asked Ron. ","{'labels': ['ambiguous'], 'scores': [0.9970035]}"
13,"""Some sort of test, I think. Fred said it hurts a lot, but I think he was joking."" ","{'labels': ['neutral', 'positive'], 'scores': [0.3636271, 0.9916482]}"
14,"Harry's heart gave a horrible jolt. A test? In front of the whole school? But he didn't know any magic yet --what on earth would he have to do? He hadn't expected something like this the moment they arrived. He looked around anxiously and saw that everyone else looked terrified, too. No one was talking much except Hermione Granger, who was whispering very fast about all the spells she'd learned and wondering which one she'd need. Harry tried hard not to listen to her. He'd never been more nervous, never, not even when he'd had to take a school report home to the Dursleys saying that he'd somehow turned his teacher's wig blue. He kept his eyes fixed on the door. Any second now, Professor McGonagall would come back and lead him to his doom. ","{'labels': ['negative'], 'scores': [0.97639024]}"
15,Then something happened that made him jump about a foot in the air -- several people behind him screamed. ,"{'labels': ['neutral'], 'scores': [0.9985739]}"
16,"""What the --?"" ","{'labels': ['neutral'], 'scores': [0.9698687]}"
17,"He gasped. So did the people around him. About twenty ghosts had just streamed through the back wall. Pearly-white and slightly transparent, they glided across the room talking to one another and hardly glancing at the first years. They seemed to be arguing. What looked like a fat little monk was saying: ""Forgive and forget, I say, we ought to give him a second chance --"" ","{'labels': ['neutral'], 'scores': [0.9993044]}"
18,"""My dear Friar, haven't we given Peeves all the chances he deserves? He gives us all a bad name and you know, he's not really even a ghost -- I say, what are you all doing here?"" ","{'labels': ['neutral'], 'scores': [0.99928135]}"
19,A ghost wearing a ruff and tights had suddenly noticed the first years. ,"{'labels': ['ambiguous', 'neutral'], 'scores': [0.99469405, 0.39620042]}"
20,Nobody answered. ,"{'labels': ['neutral'], 'scores': [0.99161154]}"
21,"""New students!"" said the Fat Friar, smiling around at them. ""About to be Sorted, I suppose?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.64518017, 0.67475456]}"
22,A few people nodded mutely. ,"{'labels': ['neutral'], 'scores': [0.99934644]}"
23,"""Hope to see you in Hufflepuff!"" said the Friar. ""My old house, you know."" ","{'labels': ['positive'], 'scores': [0.9988954]}"
24,"""Move along now,"" said a sharp voice. ""The Sorting Ceremony's about to start."" ","{'labels': ['neutral'], 'scores': [0.99919885]}"
25,"Professor McGonagall had returned. One by one, the ghosts floated away through the opposite wall. ","{'labels': ['neutral'], 'scores': [0.99879885]}"
26,"""Now, form a line,"" Professor McGonagall told the first years, ""and follow me."" ","{'labels': ['neutral'], 'scores': [0.99929285]}"
27,"Feeling oddly as though his legs had turned to lead, Harry got into line behind a boy with sandy hair, with Ron behind him, and they walked out of the chamber, back across the hall, and through a pair of double doors into the Great Hall. ","{'labels': ['negative', 'neutral'], 'scores': [0.9399894, 0.9008688]}"
28,"Harry had never even imagined such a strange and splendid place. It was lit by thousands and thousands of candles that were floating in midair over four long tables, where the rest of the students were sitting. These tables were laid with glittering golden plates and goblets. At the top of the hall was another long table where the teachers were sitting. Professor McGonagall led the first years up here, so that they came to a halt in a line facing the other students, with the teachers behind them. The hundreds of faces staring at them looked like pale lanterns in the flickering candlelight. Dotted here and there among the students, the ghosts shone misty silver. Mainly to avoid all the staring eyes, Harry looked upward and saw a velvety black ceiling dotted with stars. He heard Hermione whisper, ""Its bewitched to look like the sky outside. I read about it in Hogwarts, A History."" ","{'labels': ['neutral'], 'scores': [0.9985405]}"
29,"It was hard to believe there was a ceiling there at all, and that the Great Hall didn't simply open on to the heavens. ","{'labels': ['ambiguous'], 'scores': [0.9990037]}"
30,Harry quickly looked down again as Professor McGonagall silently placed a four-legged stool in front of the first years. On top of the stool she put a pointed wizard's hat. This hat was patched and frayed and extremely dirty. Aunt Petunia wouldn't have let it in the house. ,"{'labels': ['neutral'], 'scores': [0.9983479]}"
31,"Maybe they had to try and get a rabbit out of it, Harry thought wildly, that seemed the sort of thing -- noticing that everyone in the hall was now staring at the hat, he stared at it, too. For a few seconds, there was complete silence. Then the hat twitched. A rip near the brim opened wide like a mouth -- and the hat began to sing: ","{'labels': ['neutral'], 'scores': [0.9995246]}"
32,"""Oh, you may not think I'm pretty, ","{'labels': ['ambiguous', 'negative'], 'scores': [0.71075284, 0.35904235]}"
33,"But don't judge on what you see, ","{'labels': ['negative', 'positive'], 'scores': [0.8381895, 0.9898741]}"
34,I'll eat myself if you can find ,"{'labels': ['neutral'], 'scores': [0.9992593]}"
