idx,Paragraph Text,Binary Emotion Class/Score
0,The Journey From Platform Nine and Three-Quarters ,"{'labels': ['neutral'], 'scores': [0.9985]}"
1,"Harry's last month with the Dursleys wasn't fun. True, Dudley was now so scared of Harry he wouldn't stay in the same room, while Aunt Petunia and Uncle Vernon didn't shut Harry in his cupboard, force him to do anything, or shout at him -- in fact, they didn't speak to him at all. Half terrified, half furious, they acted as though any chair with Harry in it were empty. Although this was an improvement in many ways, it did become a bit depressing after a while. ","{'labels': ['negative'], 'scores': [0.99732345]}"
2,"Harry kept to his room, with his new owl for company. He had decided to call her Hedwig, a name he had found in A History of Magic. His school books were very interesting. He lay on his bed reading late into the night, Hedwig swooping in and out of the open window as she pleased. It was lucky that Aunt Petunia didn't come in to vacuum anymore, because Hedwig kept bringing back dead mice. Every night before he went to sleep, Harry ticked off another day on the piece of paper he had pinned to the wall, counting down to September the first. ","{'labels': ['neutral'], 'scores': [0.97425497]}"
3,"On the last day of August he thought he'd better speak to his aunt and uncle about getting to King's Cross station the next day, so he went down to the living room where they were watching a quiz show on television. He cleared his throat to let them know he was there, and Dudley screamed and ran from the room. ","{'labels': ['neutral'], 'scores': [0.99910283]}"
4,"""Er -- Uncle Vernon?"" ","{'labels': ['neutral'], 'scores': [0.9994266]}"
5,Uncle Vernon grunted to show he was listening. ,"{'labels': ['neutral'], 'scores': [0.9997063]}"
6,"""Er -- I need to be at King's Cross tomorrow to -- to go to Hogwarts."" ","{'labels': ['neutral'], 'scores': [0.9993401]}"
7,Uncle Vernon grunted again. ,"{'labels': ['neutral'], 'scores': [0.99647695]}"
8,"""Would it be all right if you gave me a lift?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.6031682, 0.91093785]}"
9,Grunt. Harry supposed that meant yes. ,"{'labels': ['neutral', 'positive'], 'scores': [0.63182825, 0.9845036]}"
10,"""Thank you."" ","{'labels': ['positive'], 'scores': [0.9991478]}"
11,He was about to go back upstairs when Uncle Vernon actually spoke. ,"{'labels': ['neutral'], 'scores': [0.99892527]}"
12,"""Funny way to get to a wizards' school, the train. Magic carpets all got punctures, have they?"" ","{'labels': ['positive'], 'scores': [0.99950314]}"
13,Harry didn't say anything. ,"{'labels': ['neutral'], 'scores': [0.99924433]}"
14,"""Where is this school, anyway?"" ","{'labels': ['ambiguous'], 'scores': [0.9974564]}"
15,"""I don't know,"" said Harry, realizing this for the first time. He pulled the ticket Hagrid had given him out of his pocket. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.98860127, 0.7059868]}"
16,"""I just take the train from platform nine and three-quarters at eleven o'clock,"" he read. ","{'labels': ['neutral'], 'scores': [0.999308]}"
17,His aunt and uncle stared. ,"{'labels': ['neutral'], 'scores': [0.99918836]}"
18,"""Platform what?"" ","{'labels': ['neutral'], 'scores': [0.9983596]}"
19,"""Nine and three-quarters."" ","{'labels': ['neutral'], 'scores': [0.99695385]}"
20,"""Don't talk rubbish,"" said Uncle Vernon. ""There is no platform nine and three-quarters."" ","{'labels': ['negative', 'neutral'], 'scores': [0.99210066, 0.3813679]}"
21,"""It's on my ticket."" ","{'labels': ['neutral'], 'scores': [0.9996946]}"
22,"""Barking,"" said Uncle Vernon, ""howling mad, the lot of them. You'll see. You just wait. All right, we'll take you to King's Cross. We're going up to London tomorrow anyway, or I wouldn't bother."" ","{'labels': ['neutral'], 'scores': [0.9995314]}"
23,"""Why are you going to London?"" Harry asked, trying to keep things friendly. ","{'labels': ['neutral'], 'scores': [0.9805319]}"
24,"""Taking Dudley to the hospital,"" growled Uncle Vernon. ""Got to have that ruddy tail removed before he goes to Smeltings."" ","{'labels': ['neutral'], 'scores': [0.99962795]}"
25,"Harry woke at five o'clock the next morning and was too excited and nervous to go back to sleep. He got up and pulled on his jeans because he didn't want to walk into the station in his wizard's robes -- he'd change on the train. He checked his Hogwarts list yet again to make sure he had everything he needed, saw that Hedwig was shut safely in her cage, and then paced the room, waiting for the Dursleys to get up. Two hours later, Harry's huge, heavy trunk had been loaded into the Dursleys' car, Aunt Petunia had talked Dudley into sitting next to Harry, and they had set off. ","{'labels': ['neutral'], 'scores': [0.4545984]}"
26,"They reached King's Cross at half past ten. Uncle Vernon dumped Harry's trunk onto a cart and wheeled it into the station for him. Harry thought this was strangely kind until Uncle Vernon stopped dead, facing the platforms with a nasty grin on his face. ","{'labels': ['negative', 'neutral'], 'scores': [0.797061, 0.9965571]}"
27,"""Well, there you are, boy. Platform nine -- platform ten. Your platform should be somewhere in the middle, but they don't seem to have built it yet, do they?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.4994674, 0.997387]}"
28,"He was quite right, of course. There was a big plastic number nine over one platform and a big plastic number ten over the one next to it, and in the middle, nothing at all. ","{'labels': ['neutral', 'positive'], 'scores': [0.85460126, 0.99172544]}"
29,"""Have a good term,"" said Uncle Vernon with an even nastier smile. He left without another word. Harry turned and saw the Dursleys drive away. All three of them were laughing. Harry's mouth went rather dry. What on earth was he going to do? He was starting to attract a lot of funny looks, because of Hedwig. He'd have to ask someone. ","{'labels': ['positive'], 'scores': [0.9995883]}"
30,"He stopped a passing guard, but didn't dare mention platform nine and three-quarters. The guard had never heard of Hogwarts and when Harry couldn't even tell him what part of the country it was in, he started to get annoyed, as though Harry was being stupid on purpose. Getting desperate, Harry asked for the train that left at eleven o'clock, but the guard said there wasn't one. In the end the guard strode away, muttering about time wasters. Harry was now trying hard not to panic. According to the large clock over the arrivals board, he had ten minutes left to get on the train to Hogwarts and he had no idea how to do it; he was stranded in the middle of a station with a trunk he could hardly lift, a pocket full of wizard money, and a large owl. ","{'labels': ['negative', 'neutral'], 'scores': [0.95875525, 0.96357185]}"
31,"Hagrid must have forgotten to tell him something you had to do, like tapping the third brick on the left to get into Diagon Alley. He wondered if he should get out his wand and start tapping the ticket inspector's stand between platforms nine and ten. ","{'labels': ['ambiguous'], 'scores': [0.9924642]}"
32,At that moment a group of people passed just behind him and he caught a few words of what they were saying. ,"{'labels': ['neutral'], 'scores': [0.99939346]}"
33,"""-- packed with Muggles, of course --"" ","{'labels': ['neutral'], 'scores': [0.99841475]}"
34,"Harry swung round. The speaker was a plump woman who was talking to four boys, all with flaming red hair. Each of them was pushing a trunk like Harry's in front of him -- and they had an owl. ","{'labels': ['neutral'], 'scores': [0.99946994]}"
35,"Heart hammering, Harry pushed his cart after them. They stopped and so did he, just near enough to hear what they were saying. ","{'labels': ['neutral'], 'scores': [0.9717714]}"
36,"""Now, what's the platform number?"" said the boys' mother. ","{'labels': ['neutral'], 'scores': [0.998209]}"
37,"""Nine and three-quarters!"" piped a small girl, also red-headed, who was holding her hand, ""Mom, can't I go..."" ","{'labels': ['neutral'], 'scores': [0.9429264]}"
38,"""You're not old enough, Ginny, now be quiet. All right, Percy, you go first."" ","{'labels': ['neutral'], 'scores': [0.9996412]}"
