idx,Paragraph Text,Binary Emotion Class/Score
0,Letters From No One ,"{'labels': ['neutral'], 'scores': [0.99863964]}"
1,"The escape of the Brazilian boa constrictor earned Harry his longest-ever punishment. By the time he was allowed out of his cupboard again, the summer holidays had started and Dudley had already broken his new video camera, crashed his remote control airplane, and, first time out on his racing bike, knocked down old Mrs. Figg as she crossed Privet Drive on her crutches. ","{'labels': ['negative'], 'scores': [0.99312675]}"
2,"Harry was glad school was over, but there was no escaping Dudley's gang, who visited the house every single day. Piers, Dennis, Malcolm, and Gordon were all big and stupid, but as Dudley was the biggest and stupidest of the lot, he was the leader. The rest of them were all quite happy to join in Dudley's favorite sport: Harry Hunting. ","{'labels': ['positive'], 'scores': [0.99747974]}"
3,"This was why Harry spent as much time as possible out of the house, wandering around and thinking about the end of the holidays, where he could see a tiny ray of hope. When September came he would be going off to secondary school and, for the first time in his life, he wouldn't be with Dudley. Dudley had been accepted at Uncle Vernon's old private school, Smeltings. Piers Polkiss was going there too. Harry, on the other hand, was going to Stonewall High, the local public school. Dudley thought this was very funny. ","{'labels': ['positive'], 'scores': [0.99915004]}"
4,"""They stuff people's heads down the toilet the first day at Stonewall,"" he told Harry. ""Want to come upstairs and practice?"" ","{'labels': ['neutral'], 'scores': [0.99949825]}"
5,"""No, thanks,"" said Harry. ""The poor toilet's never had anything as horrible as your head down it -- it might be sick."" Then he ran, before Dudley could work out what he'd said. ","{'labels': ['positive'], 'scores': [0.8435952]}"
6,"One day in July, Aunt Petunia took Dudley to London to buy his Smeltings uniform, leaving Harry at Mrs. Figg's. Mrs. Figg wasn't as bad as usual. It turned out she'd broken her leg tripping over one of her cats, and she didn't seem quite as fond of them as before. She let Harry watch television and gave him a bit of chocolate cake that tasted as though she'd had it for several years. ","{'labels': ['neutral'], 'scores': [0.9826743]}"
7,"That evening, Dudley paraded around the living room for the family in his brand-new uniform. Smeltings' boys wore maroon tailcoats, orange knickerbockers, and flat straw hats called boaters. They also carried knobbly sticks, used for hitting each other while the teachers weren't looking. This was supposed to be good training for later life. ","{'labels': ['positive'], 'scores': [0.9990792]}"
8,"As he looked at Dudley in his new knickerbockers, Uncle Vernon said gruffly that it was the proudest moment of his life. Aunt Petunia burst into tears and said she couldn't believe it was her Ickle Dudleykins, he looked so handsome and grown-up. Harry didn't trust himself to speak. He thought two of his ribs might already have cracked from trying not to laugh. ","{'labels': ['neutral', 'positive'], 'scores': [0.54952013, 0.9524675]}"
9,There was a horrible smell in the kitchen the next morning when Harry went in for breakfast. It seemed to be coming from a large metal tub in the sink. He went to have a look. The tub was full of what looked like dirty rags swimming in gray water. ,"{'labels': ['negative'], 'scores': [0.99773574]}"
10,"""What's this?"" he asked Aunt Petunia. Her lips tightened as they always did if he dared to ask a question. ","{'labels': ['neutral'], 'scores': [0.99910045]}"
11,"""Your new school uniform,"" she said. ","{'labels': ['neutral'], 'scores': [0.99907386]}"
12,Harry looked in the bowl again. ,"{'labels': ['neutral'], 'scores': [0.99690396]}"
13,"""Oh,"" he said, ""I didn't realize it had to be so wet."" ","{'labels': ['ambiguous'], 'scores': [0.99182594]}"
14,"""Don't be stupid,"" snapped Aunt Petunia. ""I'm dyeing some of Dudley's old things gray for you. It'll look just like everyone else's when I've finished."" ","{'labels': ['neutral'], 'scores': [0.99881977]}"
15,"Harry seriously doubted this, but thought it best not to argue. He sat down at the table and tried not to think about how he was going to look on his first day at Stonewall High -- like he was wearing bits of old elephant skin, probably. ","{'labels': ['neutral'], 'scores': [0.99297345]}"
16,"Dudley and Uncle Vernon came in, both with wrinkled noses because of the smell from Harry's new uniform. Uncle Vernon opened his newspaper as usual and Dudley banged his Smelting stick, which he carried everywhere, on the table. ","{'labels': ['neutral'], 'scores': [0.99908423]}"
17,They heard the click of the mail slot and flop of letters on the doormat. ,"{'labels': ['neutral'], 'scores': [0.9962878]}"
18,"""Get the mail, Dudley,"" said Uncle Vernon from behind his paper. ","{'labels': ['neutral'], 'scores': [0.9988613]}"
19,"""Make Harry get it."" ","{'labels': ['neutral'], 'scores': [0.9991437]}"
20,"""Get the mail, Harry."" ","{'labels': ['neutral'], 'scores': [0.9990533]}"
21,"""Make Dudley get it."" ","{'labels': ['neutral'], 'scores': [0.99183184]}"
