idx,Paragraph Text,Binary Emotion Class/Score
0,The Forbidden Forest ,"{'labels': ['neutral'], 'scores': [0.99900323]}"
1,Things couldn't have been worse. ,"{'labels': ['negative'], 'scores': [0.99888307]}"
2,"Filch took them down to Professor McGonagall's study on the first floor, where they sat and waited without saying a word to each other. Hermione was trembling. Excuses, alibis, and wild cover- up stories chased each other around Harry's brain, each more feeble than the last. He couldn't see how they were going to get out of trouble this time. They were cornered. How could they have been so stupid as to forget the cloak? There was no reason on earth that Professor McGonagall would accept for their being out of bed and creeping around the school in the dead of night, let alone being up the tallest astronomy tower, which was out-of-bounds except for classes. Add Norbert and the invisibility cloak, and they might as well be packing their bags already. ","{'labels': ['neutral'], 'scores': [0.9990964]}"
3,"Had Harry thought that things couldn't have been worse? He was wrong. When Professor McGonagall appeared, she was leading Neville. ","{'labels': ['negative', 'neutral'], 'scores': [0.9917144, 0.43293217]}"
4,"""Harry!"" Neville burst out, the moment he saw the other two. ""I was trying to find you to warn you, I heard Malfoy saying he was going to catch you, he said you had a drag--"" ","{'labels': ['negative', 'neutral'], 'scores': [0.8002123, 0.9841763]}"
5,"Harry shook his head violently to shut Neville up, but Professor McGonagall had seen. She looked more likely to breathe fire than Norbert as she towered over the three of them. ","{'labels': ['neutral'], 'scores': [0.9990544]}"
6,"""I would never have believed it of any of you. Mr. Filch says you were up in the astronomy tower. It's one o'clock in the morning. Explain yourselves."" ","{'labels': ['negative', 'neutral'], 'scores': [0.98092306, 0.79763407]}"
7,"It was the first time Hermione had ever failed to answer a teacher's question. She was staring at her slippers, as still as a statue. ","{'labels': ['neutral'], 'scores': [0.9958786]}"
8,"""I think I've got a good idea of what's been going on,"" said Professor McGonagall. ""It doesn't take a genius to work it out. You fed Draco Malfoy some cock-and-bull story about a dragon, trying to get him out of bed and into trouble. I've already caught him. I suppose you think it's funny that Longbottom here heard the story and believed it, too?"" ","{'labels': ['ambiguous'], 'scores': [0.8794521]}"
9,"Harry caught Neville's eye and tried to tell him without words that this wasn't true, because Neville was looking stunned and hurt. Poor, blundering Neville -- Harry knew what it must have cost him to try and find them in the dark, to warn them. ","{'labels': ['negative', 'neutral'], 'scores': [0.9822803, 0.43291867]}"
10,"""I'm disgusted,"" said Professor McGonagall. ""Four students out of bed in one night! I've never heard of such a thing before! You, Miss Granger, I thought you had more sense. As for you, Mr. Potter, I thought Gryffindor meant more to you than this. All three of you will receive detentions -- yes, you too, Mr. Longbottom, nothing gives you the right to walk around school at night, especially these days, it's very dangerous -- and fifty points will be taken from Gryffindor."" ","{'labels': ['negative'], 'scores': [0.99828196]}"
11,"""Fifty?"" Harry gasped -- they would lose the lead, the lead he'd won in the last Quidditch match. ","{'labels': ['neutral'], 'scores': [0.99581665]}"
12,"""Fifty points each,"" said Professor McGonagall, breathing heavily through her long, pointed nose. ","{'labels': ['neutral'], 'scores': [0.99890506]}"
13,"""Professor -- please --"" ","{'labels': ['neutral'], 'scores': [0.9994941]}"
14,"""You can't --"" ","{'labels': ['negative', 'neutral'], 'scores': [0.9971789, 0.83515537]}"
15,"""Don't tell me what I can and can't do, Potter. Now get back to bed, all of you. I've never been more ashamed of Gryffindor students."" ","{'labels': ['negative'], 'scores': [0.9983758]}"
16,"A hundred and fifty points lost. That put Gryffindor in last place. In one night, they'd ruined any chance Gryffindor had had for the house cup. Harry felt as though the bottom had dropped out of his stomach. How could they ever make up for this? ","{'labels': ['ambiguous', 'negative'], 'scores': [0.92037994, 0.59657556]}"
17,"Harry didn't sleep all night. He could hear Neville sobbing into his pillow for what seemed like hours. Harry couldn't think of anything to say to comfort him. He knew Neville, like himself, was dreading the dawn. What would happen when the rest of Gryffindor found out what they'd done? ","{'labels': ['ambiguous'], 'scores': [0.9863418]}"
18,"At first, Gryffindors passing the giant hourglasses that recorded the house points the next day thought there'd been a mistake. How could they suddenly have a hundred and fifty points fewer than yesterday? And then the story started to spread: Harry Potter, the famous Harry Potter, their hero of two Quidditch matches, had lost them all those points, him and a couple of other stupid first years. ","{'labels': ['negative'], 'scores': [0.9949286]}"
19,"From being one of the most popular and admired people at the school, Harry was suddenly the most hated. Even Ravenclaws and Hufflepuffs turned on him, because everyone had been longing to see Slytherin lose the house cup. Everywhere Harry went, people pointed and didn't trouble to lower their voices as they insulted him. Slytherins, on the other hand, clapped as he walked past them, whistling and cheering, ""Thanks Potter, we owe you one!"" ","{'labels': ['positive'], 'scores': [0.99891996]}"
20,Only Ron stood by him. ,"{'labels': ['neutral'], 'scores': [0.99921656]}"
21,"""They'll all forget this in a few weeks. Fred and George have lost loads of points in all the time they've been here, and people still like them."" ","{'labels': ['neutral'], 'scores': [0.9995844]}"
22,"""They've never lost a hundred and fifty points in one go, though, have they?"" said Harry miserably. ","{'labels': ['negative'], 'scores': [0.9953431]}"
23,"""Well -- no,"" Ron admitted. ","{'labels': ['negative', 'neutral'], 'scores': [0.62496173, 0.84653974]}"
24,"It was a bit late to repair the damage, but Harry swore to himself not to meddle in things that weren't his business from now on. He'd had it with sneaking around and spying. He felt so ashamed of himself that he went to Wood and offered to resign from the Quidditch team. ","{'labels': ['negative'], 'scores': [0.9980855]}"
25,"""Resign?"" Wood thundered. ""What good'll that do? How are we going to get any points back if we can't win at Quidditch?"" ","{'labels': ['negative'], 'scores': [0.9946571]}"
26,"But even Quidditch had lost its fun. The rest of the team wouldn't speak to Harry during practice, and if they had to speak about him, they called him ""the Seeker."" ","{'labels': ['negative'], 'scores': [0.99199706]}"
27,"Hermione and Neville were suffering, too. They didn't have as bad a time as Harry, because they weren't as well-known, but nobody would speak to them, either. Hermione had stopped drawing attention to herself in class, keeping her head down and working in silence. ","{'labels': ['negative', 'neutral'], 'scores': [0.7411837, 0.9977202]}"
28,"Harry was almost glad that the exams weren't far away. All the studying he had to do kept his mind off his misery. He, Ron, and Hermione kept to themselves, working late into the night, trying to remember the ingredients in complicated potions, learn charms and spells by heart, memorize the dates of magical discoveries and goblin rebellions... ","{'labels': ['neutral', 'positive'], 'scores': [0.8445402, 0.7876041]}"
