idx,Paragraph Text,Binary Emotion Class/Score
0,Norbert the Norwegian Ridgeback ,"{'labels': ['neutral'], 'scores': [0.99853504]}"
1,"Quirrell, however, must have been braver than they'd thought. In the weeks that followed he did seem to be getting paler and thinner, but it didn't look as though he'd cracked yet. ","{'labels': ['neutral'], 'scores': [0.99614245]}"
2,"Every time they passed the third-floor corridor, Harry, Ron, and Hermione would press their ears to the door to check that Fluffy was still growling inside. Snape was sweeping about in his usual bad temper, which surely meant that the Stone was still safe. Whenever Harry passed Quirrell these days he gave him an encouraging sort of smile, and Ron had started telling people off for laughing at Quirrell's stutter. ","{'labels': ['neutral'], 'scores': [0.9990169]}"
3,"Hermione, however, had more on her mind than the Sorcerer's Stone. She had started drawing up study schedules and color coding all her notes. Harry and Ron wouldn't have minded, but she kept nagging them to do the same. ","{'labels': ['neutral'], 'scores': [0.998931]}"
4,"""Hermione, the exams are ages away."" ","{'labels': ['neutral'], 'scores': [0.98710376]}"
5,"""Ten weeks,"" Hermione snapped. ""That's not ages, that's like a second to Nicolas Flamel."" ","{'labels': ['neutral'], 'scores': [0.9995721]}"
6,"""But we're not six hundred years old,"" Ron reminded her. ""Anyway, what are you studying for, you already know it's an A."" ","{'labels': ['neutral'], 'scores': [0.9996965]}"
7,"""What am I studying for? Are you crazy? You realize we need to pass these exams to get into the second year? They're very important, I should have started studying a month ago, I don't know what's gotten into me..."" ","{'labels': ['ambiguous'], 'scores': [0.99950814]}"
8,"Unfortunately, the teachers seemed to be thinking along the same lines as Hermione. They piled so much homework on them that the Easter holidays weren't nearly as much fun as the Christmas ones. It was hard to relax with Hermione next to you reciting the twelve uses of dragon's blood or practicing wand movements. Moaning and yawning, Harry and Ron spent most of their free time in the library with her, trying to get through all their extra work. ","{'labels': ['neutral'], 'scores': [0.9979492]}"
9,"""I'll never remember this,"" Ron burst out one afternoon, throwing down his quill and looking longingly out of the library window. It was the first really fine day they'd had in months. The sky was a clear, forget-me-not blue, and there was a feeling in the air of summer coming. ","{'labels': ['neutral'], 'scores': [0.9989114]}"
10,"Harry, who was looking up ""Dittany"" in One Thousand Magical Herbs and Fungi, didn't look up until he heard Ron say, ""Hagrid! What are you doing in the library?"" ","{'labels': ['neutral'], 'scores': [0.99920326]}"
11,"Hagrid shuffled into view, hiding something behind his back. He looked very out of place in his moleskin overcoat. ","{'labels': ['neutral'], 'scores': [0.9974874]}"
12,"""Jus' lookin',"" he said, in a shifty voice that got their interest at once. ""An' what're you lot up ter?"" He looked suddenly suspicious. ""Yer not still lookin' fer Nicolas Flamel, are yeh?"" ","{'labels': ['ambiguous'], 'scores': [0.9991804]}"
13,"""Oh, we found out who he is ages ago,"" said Ron impressively. ""And we know what that dog's guarding, it's a Sorcerer's St--"" ","{'labels': ['positive'], 'scores': [0.99946946]}"
14,"""Shhhh!"" Hagrid looked around quickly to see if anyone was listening. ""Don' go shoutin' about it, what's the matter with yeh?"" ","{'labels': ['ambiguous'], 'scores': [0.9892374]}"
15,"""There are a few things we wanted to ask you, as a matter of fact,"" said Harry, ""about what's guarding the Stone apart from Fluffy --"" ","{'labels': ['neutral'], 'scores': [0.99959487]}"
16,"""SHHHH!"" said Hagrid again. ""Listen -- come an' see me later, I'm not promisin' I'll tell yeh anythin', mind, but don' go rabbitin' about it in here, students aren' s'pposed ter know. They'll think I've told yeh --"" ","{'labels': ['neutral'], 'scores': [0.999689]}"
17,"""See you later, then,"" said Harry. ","{'labels': ['neutral'], 'scores': [0.9981749]}"
18,Hagrid shuffled off. ,"{'labels': ['neutral'], 'scores': [0.99578345]}"
19,"""What was he hiding behind his back?"" said Hermione thoughtfully. ","{'labels': ['ambiguous'], 'scores': [0.93409723]}"
20,"""Do you think it had anything to do with the Stone?"" ","{'labels': ['ambiguous'], 'scores': [0.9979736]}"
21,"""I'm going to see what section he was in,"" said Ron, who'd had enough of working. He came back a minute later with a pile of books in his arms and slammed them down on the table. ""Dragons!"" he whispered. ""Hagrid was looking up stuff about dragons! Look at these: Dragon Species of Great Britain and Ireland; From Egg to Inferno, A Dragon Keeper's Guide. "" ","{'labels': ['neutral'], 'scores': [0.99906117]}"
22,"""Hagrid's always wanted a dragon, he told me so the first time I ever met him, "" said Harry. ","{'labels': ['neutral'], 'scores': [0.99941504]}"
23,"""But it's against our laws,"" said Ron. ""Dragon breeding was outlawed by the Warlocks' Convention of 1709, everyone knows that. It's hard to stop Muggles from noticing us if we're keeping dragons in the back garden -- anyway, you can't tame dragons, it's dangerous. You should see the burns Charlie's got off wild ones in Romania."" ","{'labels': ['neutral'], 'scores': [0.9993999]}"
24,"""But there aren't wild dragons in Britain?"" said Harry. ","{'labels': ['neutral'], 'scores': [0.9856516]}"
25,"""Of course there are,"" said Ron. ""Common Welsh Green and Hebridean Blacks. The Ministry of Magic has a job hushing them up, I can tell you. Our kind have to keep putting spells on Muggles who've spotted them, to make them forget."" ","{'labels': ['neutral'], 'scores': [0.99968255]}"
26,"""So what on earth's Hagrid up to?"" said Hermione. ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.9909758, 0.3239045]}"
27,"When they knocked on the door of the gamekeeper's hut an hour later, they were surprised to see that all the curtains were closed. Hagrid called ""Who is it?"" before he let them in, and then shut the door quickly behind them. ","{'labels': ['ambiguous'], 'scores': [0.9959428]}"
28,"It was stifling hot inside. Even though it was such a warm day, there was a blazing fire in the grate. Hagrid made them tea and offered them stoat sandwiches, which they refused. ","{'labels': ['neutral'], 'scores': [0.9987099]}"
29,"""So -- yeh wanted to ask me somethin'?"" ","{'labels': ['ambiguous', 'neutral'], 'scores': [0.6220479, 0.98501563]}"
30,"""Yes,"" said Harry. There was no point beating around the bush. ""We were wondering if you could tell us what's guarding the Sorcerer's Stone apart from Fluffy."" ","{'labels': ['ambiguous'], 'scores': [0.9943131]}"
31,Hagrid frowned at him. ,"{'labels': ['neutral'], 'scores': [0.99820244]}"
32,"""O' course I can't,"" he said. ""Number one, I don' know meself. Number two, yeh know too much already, so I wouldn' tell yeh if I could. That Stone's here fer a good reason. It was almost stolen outta Gringotts -- I s'ppose yeh've worked that out an' all? Beats me how yeh even know abou' Fluffy."" ","{'labels': ['neutral'], 'scores': [0.9995561]}"
33,"""Oh, come on, Hagrid, you might not want to tell us, but you do know, you know everything that goes on round here,"" said Hermione in a warm, flattering voice. Hagrid's beard twitched and they could tell he was smiling. ""We only wondered who had done the guarding, really."" Hermione went on. ""We wondered who Dumbledore had trusted enough to help him, apart from you."" ","{'labels': ['neutral'], 'scores': [0.99824655]}"
34,Hagrid's chest swelled at these last words. Harry and Ron beamed at Hermione. ,"{'labels': ['positive'], 'scores': [0.9965838]}"
35,"""Well, I don' s'pose it could hurt ter tell yeh that... let's see... he borrowed Fluffy from me... then some o' the teachers did enchantments... Professor Sprout -- Professor Flitwick -- Professor McGonagall --"" he ticked them off on his fingers, ""Professor Quirrell -- an' Dumbledore himself did somethin', o' course. Hang on, I've forgotten someone. Oh yeah, Professor Snape."" ","{'labels': ['neutral'], 'scores': [0.99942636]}"
36,"""Snape?"" ","{'labels': ['negative', 'neutral'], 'scores': [0.51637334, 0.99748]}"
37,"""Yeah -- yer not still on abou' that, are yeh? Look, Snape helped protect the Stone, he's not about ter steal it."" ","{'labels': ['neutral'], 'scores': [0.99980456]}"
